open5gs-smf  | 2026-09-10T14:43:01.275817837Z 09/10 14:43:01.274: [smf] INFO: Removed Session: UE IMSI:[imsi-001010000000001] DNN:[internet:1] IPv4:[10.45.1.2] IPv6:[] (../src/smf/context.c:2037)
open5gs-smf  | 2026-09-10T14:43:01.275856712Z 09/10 14:43:01.274: [smf] INFO: [Removed] Number of SMF-Sessions is now 0 (../src/smf/context.c:3620)
open5gs-smf  | 2026-09-10T14:43:01.275865103Z 09/10 14:43:01.274: [smf] INFO: [Removed] Number of SMF-UEs is now 0 (../src/smf/context.c:1347)
open5gs-smf  | 2026-09-10T14:43:01.515161859Z 09/10 14:43:01.514: [smf] INFO: [Added] Number of SMF-UEs is now 1 (../src/smf/context.c:1069)
open5gs-smf  | 2026-09-10T14:43:01.515190818Z 09/10 14:43:01.515: [smf] INFO: [Added] Number of SMF-Sessions is now 1 (../src/smf/context.c:3612)
open5gs-smf  | 2026-09-10T14:43:01.515264042Z 09/10 14:43:01.515: [smf] INFO: Setup NF EndPoint(addr) [10.45.0.20:7777] (../src/smf/nsmf-handler.c:317)
open5gs-smf  | 2026-09-10T14:43:01.515453592Z 09/10 14:43:01.515: [sbi] INFO: [778adf58-ad25-41f1-99ae-1d0f54451fb1] Setup NF Instance [type:UDM] (../lib/sbi/path.c:349)
open5gs-smf  | 2026-09-10T14:43:01.519217488Z 09/10 14:43:01.518: [smf] INFO: Setup NF EndPoint(addr) [10.45.0.23:7777] (../src/smf/nudm-handler.c:466)
open5gs-smf  | 2026-09-10T14:43:01.519387096Z 09/10 14:43:01.519: [sbi] INFO: [77c8ab08-ad25-41f1-8701-79421a94719c] Setup NF Instance [type:PCF] (../lib/sbi/path.c:349)
open5gs-smf  | 2026-09-10T14:43:01.523787724Z 09/10 14:43:01.523: [smf] INFO: Setup NF EndPoint(addr) [10.45.0.25:7777] (../src/smf/npcf-handler.c:414)
open5gs-smf  | 2026-09-10T14:43:01.523808813Z 09/10 14:43:01.523: [smf] INFO: UE SUPI[imsi-001010000000001] DNN[internet] IPv4[10.45.1.3] IPv6[] (../src/smf/npcf-handler.c:647)
open5gs-smf  | 2026-09-10T14:43:01.525342000Z 09/10 14:43:01.525: [sbi] INFO: [7897f73c-ad25-41f1-b003-3b929690dc34] Setup NF Instance [type:AMF] (../lib/sbi/path.c:349)
open5gs-smf  | 2026-09-10T14:43:01.529957850Z 09/10 14:43:01.529: [sbi] INFO: [778adf58-ad25-41f1-99ae-1d0f54451fb1] Setup NF Instance [type:UDM] (../lib/sbi/path.c:349)
