open5gs-amf  | 2026-09-13T13:47:26.914073328Z Open5GS daemon v2.8.0
open5gs-amf  | 2026-09-13T13:47:26.914134570Z
open5gs-amf  | 2026-09-13T13:47:26.914244300Z 09/13 13:47:26.913: [app] INFO: Configuration: '/opt/open5gs/etc/open5gs/amf.yaml' (../lib/app/ogs-init.c:144)
open5gs-amf  | 2026-09-13T13:47:26.914271340Z 09/13 13:47:26.914: [app] INFO: File Logging: '/var/log/open5gs/amf.log' (../lib/app/ogs-init.c:147)
open5gs-amf  | 2026-09-13T13:47:26.914278665Z 09/13 13:47:26.914: [app] INFO: LOG-LEVEL: 'info' (../lib/app/ogs-init.c:150)
open5gs-amf  | 2026-09-13T13:47:26.923977956Z 09/13 13:47:26.923: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/context.c:451)
open5gs-amf  | 2026-09-13T13:47:26.924046636Z 09/13 13:47:26.923: [sbi] INFO: NF Service [namf-comm] (../lib/sbi/context.c:2012)
open5gs-amf  | 2026-09-13T13:47:26.924496601Z 09/13 13:47:26.924: [sbi] INFO: nghttp2_server() [http://10.45.0.20]:7777 (../lib/sbi/nghttp2-server.c:454)
open5gs-amf  | 2026-09-13T13:47:26.924991676Z 09/13 13:47:26.924: [amf] INFO: ngap_server() [10.45.0.20]:38412 (../src/amf/ngap-sctp.c:61)
open5gs-amf  | 2026-09-13T13:47:26.925027081Z 09/13 13:47:26.924: [sctp] INFO: AMF initialize...done (../src/amf/app.c:33)
open5gs-amf  | 2026-09-13T13:47:26.925499467Z 09/13 13:47:26.925: [sbi] WARNING: Couldn't connect to server (7): Failed to connect to 10.45.0.11 port 7777: Connection refused (../lib/sbi/client.c:767)
open5gs-amf  | 2026-09-13T13:47:26.925514484Z 09/13 13:47:26.925: [sbi] WARNING: ogs_sbi_client_handler() failed [-1] (../lib/sbi/path.c:62)
open5gs-amf  | 2026-09-13T13:47:37.929348811Z 09/13 13:47:37.929: [sbi] WARNING: [a7f8a7fa-af79-41f1-ac4e-018b7eb13376] Retry registration with NRF (../lib/sbi/nf-sm.c:282)
open5gs-amf  | 2026-09-13T13:47:37.931453321Z 09/13 13:47:37.931: [sbi] INFO: [a7f8a7fa-af79-41f1-ac4e-018b7eb13376] NF registered [Heartbeat:10s] (../lib/sbi/nf-sm.c:368)
open5gs-amf  | 2026-09-13T13:47:37.933198319Z 09/13 13:47:37.933: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/nnrf-handler.c:1113)
open5gs-amf  | 2026-09-13T13:47:37.933325459Z 09/13 13:47:37.933: [sbi] INFO: [ae891bcc-af79-41f1-a18e-451e2327f260] Subscription created until 2026-09-14T13:47:37.932143+00:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:1032)
open5gs-amf  | 2026-09-13T13:47:37.934455737Z 09/13 13:47:37.934: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/nnrf-handler.c:1113)
open5gs-amf  | 2026-09-13T13:47:37.934474772Z 09/13 13:47:37.934: [sbi] INFO: [ae892900-af79-41f1-a18e-451e2327f260] Subscription created until 2026-09-14T13:47:37.932458+00:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:1032)
open5gs-amf  | 2026-09-13T13:47:37.934498582Z 09/13 13:47:37.934: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/nnrf-handler.c:1113)
open5gs-amf  | 2026-09-13T13:47:37.934504080Z 09/13 13:47:37.934: [sbi] INFO: [ae892e1e-af79-41f1-a18e-451e2327f260] Subscription created until 2026-09-14T13:47:37.932581+00:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:1032)
open5gs-amf  | 2026-09-13T13:47:37.934974463Z 09/13 13:47:37.934: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/nnrf-handler.c:1113)
open5gs-amf  | 2026-09-13T13:47:37.934990498Z 09/13 13:47:37.934: [sbi] INFO: [ae894232-af79-41f1-a18e-451e2327f260] Subscription created until 2026-09-14T13:47:37.933099+00:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:1032)
open5gs-amf  | 2026-09-13T13:47:37.935392137Z 09/13 13:47:37.935: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/nnrf-handler.c:1113)
open5gs-amf  | 2026-09-13T13:47:37.935403110Z 09/13 13:47:37.935: [sbi] INFO: [ae894782-af79-41f1-a18e-451e2327f260] Subscription created until 2026-09-14T13:47:37.933234+00:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:1032)
open5gs-amf  | 2026-09-13T13:47:37.935660849Z 09/13 13:47:37.935: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/nnrf-handler.c:1113)
open5gs-amf  | 2026-09-13T13:47:37.935898565Z 09/13 13:47:37.935: [sbi] INFO: [ae894c5a-af79-41f1-a18e-451e2327f260] Subscription created until 2026-09-14T13:47:37.933347+00:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:1032)
open5gs-amf  | 2026-09-13T13:47:37.935910698Z 09/13 13:47:37.935: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/nnrf-handler.c:1113)
open5gs-amf  | 2026-09-13T13:47:37.936067345Z 09/13 13:47:37.935: [sbi] INFO: [ae895b96-af79-41f1-a18e-451e2327f260] Subscription created until 2026-09-14T13:47:37.933743+00:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:1032)
open5gs-amf  | 2026-09-13T13:47:37.939568157Z 09/13 13:47:37.939: [sbi] INFO: [a72fa3e6-af79-41f1-b247-cb1aca3465d0] (NRF-profile-get) NF registered (../lib/sbi/nf-sm.c:104)
open5gs-amf  | 2026-09-13T13:47:37.939872764Z 09/13 13:47:37.939: [sbi] INFO: [UDM] NFInstance associated [a72fa3e6-af79-41f1-b247-cb1aca3465d0] (../lib/sbi/context.c:2498)
open5gs-amf  | 2026-09-13T13:47:37.939887634Z 09/13 13:47:37.939: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.23:80] (../lib/sbi/context.c:2503)
