open5gs-pcf  | 2026-09-13T13:47:26.117095141Z Open5GS daemon v2.8.0
open5gs-pcf  | 2026-09-13T13:47:26.117142774Z
open5gs-pcf  | 2026-09-13T13:47:26.117149220Z 09/13 13:47:26.116: [app] INFO: Configuration: '/opt/open5gs/etc/open5gs/pcf.yaml' (../lib/app/ogs-init.c:144)
open5gs-pcf  | 2026-09-13T13:47:26.117154509Z 09/13 13:47:26.116: [app] INFO: File Logging: '/var/log/open5gs/pcf.log' (../lib/app/ogs-init.c:147)
open5gs-pcf  | 2026-09-13T13:47:26.117159667Z 09/13 13:47:26.116: [app] INFO: LOG-LEVEL: 'info' (../lib/app/ogs-init.c:150)
open5gs-pcf  | 2026-09-13T13:47:26.123585049Z 09/13 13:47:26.123: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/context.c:451)
open5gs-pcf  | 2026-09-13T13:47:26.129510282Z 09/13 13:47:26.129: [dbi] INFO: MongoDB URI: 'mongodb://mongodb/open5gs' (../lib/dbi/ogs-mongoc.c:128)
open5gs-pcf  | 2026-09-13T13:47:26.129591284Z 09/13 13:47:26.129: [sbi] INFO: NF Service [npcf-am-policy-control] (../lib/sbi/context.c:2012)
open5gs-pcf  | 2026-09-13T13:47:26.129700741Z 09/13 13:47:26.129: [sbi] INFO: NF Service [npcf-smpolicycontrol] (../lib/sbi/context.c:2012)
open5gs-pcf  | 2026-09-13T13:47:26.129789196Z 09/13 13:47:26.129: [sbi] INFO: NF Service [npcf-policyauthorization] (../lib/sbi/context.c:2012)
open5gs-pcf  | 2026-09-13T13:47:26.130629548Z 09/13 13:47:26.130: [sbi] INFO: nghttp2_server() [http://10.45.0.25]:7777 (../lib/sbi/nghttp2-server.c:454)
open5gs-pcf  | 2026-09-13T13:47:26.130901820Z 09/13 13:47:26.130: [app] INFO: PCF initialize...done (../src/pcf/app.c:31)
open5gs-pcf  | 2026-09-13T13:47:26.131441613Z 09/13 13:47:26.131: [sbi] WARNING: Couldn't connect to server (7): Failed to connect to 10.45.0.11 port 7777: Connection refused (../lib/sbi/client.c:767)
open5gs-pcf  | 2026-09-13T13:47:26.131457581Z 09/13 13:47:26.131: [sbi] WARNING: ogs_sbi_client_handler() failed [-1] (../lib/sbi/path.c:62)
open5gs-pcf  | 2026-09-13T13:47:37.142062780Z 09/13 13:47:37.141: [sbi] WARNING: [a77f245c-af79-41f1-9b43-3777ca09e805] Retry registration with NRF (../lib/sbi/nf-sm.c:282)
open5gs-pcf  | 2026-09-13T13:47:37.144161321Z 09/13 13:47:37.143: [sbi] INFO: [a77f245c-af79-41f1-9b43-3777ca09e805] NF registered [Heartbeat:10s] (../lib/sbi/nf-sm.c:368)
open5gs-pcf  | 2026-09-13T13:47:37.145867998Z 09/13 13:47:37.145: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/nnrf-handler.c:1113)
open5gs-pcf  | 2026-09-13T13:47:37.145885817Z 09/13 13:47:37.145: [sbi] INFO: [ae10efc6-af79-41f1-a18e-451e2327f260] Subscription created until 2026-09-14T13:47:37.144588+00:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:1032)
open5gs-pcf  | 2026-09-13T13:47:37.146089309Z 09/13 13:47:37.146: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/nnrf-handler.c:1113)
open5gs-pcf  | 2026-09-13T13:47:37.146994048Z 09/13 13:47:37.146: [sbi] INFO: [ae110236-af79-41f1-a18e-451e2327f260] Subscription created until 2026-09-14T13:47:37.145037+00:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:1032)
open5gs-pcf  | 2026-09-13T13:47:37.147017495Z 09/13 13:47:37.146: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/nnrf-handler.c:1113)
open5gs-pcf  | 2026-09-13T13:47:37.147024308Z 09/13 13:47:37.146: [sbi] INFO: [ae11088a-af79-41f1-a18e-451e2327f260] Subscription created until 2026-09-14T13:47:37.145200+00:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:1032)
open5gs-pcf  | 2026-09-13T13:47:37.148495659Z 09/13 13:47:37.148: [sbi] INFO: [a7090696-af79-41f1-83ea-45b17272739d] (NRF-profile-get) NF registered (../lib/sbi/nf-sm.c:104)
open5gs-pcf  | 2026-09-13T13:47:37.148609763Z 09/13 13:47:37.148: [sbi] INFO: [BSF] NFInstance associated [a7090696-af79-41f1-83ea-45b17272739d] (../lib/sbi/context.c:2498)
open5gs-pcf  | 2026-09-13T13:47:37.148631269Z 09/13 13:47:37.148: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.26:80] (../lib/sbi/context.c:2503)
open5gs-pcf  | 2026-09-13T13:47:37.148740791Z 09/13 13:47:37.148: [sbi] INFO: [nbsf-management] NFService associated [a7091ce4-af79-41f1-83ea-45b17272739d] (../lib/sbi/context.c:2138)
open5gs-pcf  | 2026-09-13T13:47:37.148752438Z 09/13 13:47:37.148: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.26:7777] (../lib/sbi/context.c:2141)
open5gs-pcf  | 2026-09-13T13:47:37.420641667Z 09/13 13:47:37.419: [sbi] INFO: [a7a99f16-af79-41f1-9b89-db04405dfb54] (NRF-notify) NF registered (../lib/sbi/nnrf-handler.c:1310)
open5gs-pcf  | 2026-09-13T13:47:37.420668435Z 09/13 13:47:37.420: [sbi] INFO: [a7a99f16-af79-41f1-9b89-db04405dfb54] (NRF-notify) NF Profile updated [type:UDR] (../lib/sbi/nnrf-handler.c:1348)
open5gs-pcf  | 2026-09-13T13:47:37.420674847Z 09/13 13:47:37.420: [sbi] INFO: [UDR] NFInstance associated [a7a99f16-af79-41f1-9b89-db04405dfb54] (../lib/sbi/context.c:2498)
open5gs-pcf  | 2026-09-13T13:47:37.420679858Z 09/13 13:47:37.420: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.24:80] (../lib/sbi/context.c:2503)
open5gs-pcf  | 2026-09-13T13:47:37.420685109Z 09/13 13:47:37.420: [sbi] INFO: [nudr-dr] NFService associated [a7aa49ac-af79-41f1-9b89-db04405dfb54] (../lib/sbi/context.c:2138)
open5gs-pcf  | 2026-09-13T13:47:37.420690087Z 09/13 13:47:37.420: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.24:7777] (../lib/sbi/context.c:2141)
open5gs-pcf  | 2026-09-13T13:48:21.758852539Z 09/13 13:48:21.758: [pcf] INFO: Setup NF EndPoint(addr) [10.45.0.20:7777] (../src/pcf/npcf-handler.c:150)
open5gs-pcf  | 2026-09-13T13:48:21.758929811Z 09/13 13:48:21.758: [sbi] INFO: [a7a99f16-af79-41f1-9b89-db04405dfb54] Setup NF Instance [type:UDR] (../lib/sbi/path.c:349)
open5gs-pcf  | 2026-09-13T13:48:22.034646915Z 09/13 13:48:22.034: [pcf] INFO: Setup NF EndPoint(addr) [10.45.0.21:7777] (../src/pcf/npcf-handler.c:482)
open5gs-pcf  | 2026-09-13T13:48:22.034840063Z 09/13 13:48:22.034: [sbi] INFO: [a7a99f16-af79-41f1-9b89-db04405dfb54] Setup NF Instance [type:UDR] (../lib/sbi/path.c:349)
open5gs-pcf  | 2026-09-13T13:48:22.093496682Z 09/13 13:48:22.093: [sbi] INFO: [a7090696-af79-41f1-83ea-45b17272739d] Setup NF Instance [type:BSF] (../lib/sbi/path.c:349)
open5gs-pcf  | 2026-09-13T13:48:22.094715931Z 09/13 13:48:22.094: [pcf] INFO: Setup NF EndPoint(addr) [10.45.0.26:7777] (../src/pcf/nbsf-handler.c:125)
