open5gs-smf  | 2026-09-13T13:47:27.170244171Z Open5GS daemon v2.8.0
open5gs-smf  | 2026-09-13T13:47:27.170343843Z
open5gs-smf  | 2026-09-13T13:47:27.170355495Z 09/13 13:47:27.170: [app] INFO: Configuration: '/opt/open5gs/etc/open5gs/smf.yaml' (../lib/app/ogs-init.c:144)
open5gs-smf  | 2026-09-13T13:47:27.170362976Z 09/13 13:47:27.170: [app] INFO: File Logging: '/var/log/open5gs/smf.log' (../lib/app/ogs-init.c:147)
open5gs-smf  | 2026-09-13T13:47:27.170368807Z 09/13 13:47:27.170: [app] INFO: LOG-LEVEL: 'info' (../lib/app/ogs-init.c:150)
open5gs-smf  | 2026-09-13T13:47:27.313106218Z 09/13 13:47:27.312: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/context.c:451)
open5gs-smf  | 2026-09-13T13:47:27.313153836Z 09/13 13:47:27.313: [smf] WARNING: No diameter configuration (../src/smf/fd-path.c:30)
open5gs-smf  | 2026-09-13T13:47:27.313370321Z 09/13 13:47:27.313: [gtp] INFO: gtp_server() [10.45.0.21]:2123 (../lib/gtp/path.c:30)
open5gs-smf  | 2026-09-13T13:47:27.313382661Z 09/13 13:47:27.313: [gtp] INFO: gtp_server() [10.45.0.21]:2152 (../lib/gtp/path.c:30)
open5gs-smf  | 2026-09-13T13:47:27.313596202Z 09/13 13:47:27.313: [pfcp] INFO: pfcp_server() [10.45.0.21]:8805 (../lib/pfcp/path.c:30)
open5gs-smf  | 2026-09-13T13:47:27.314148845Z 09/13 13:47:27.314: [sbi] INFO: NF Service [nsmf-pdusession] (../lib/sbi/context.c:2012)
open5gs-smf  | 2026-09-13T13:47:27.314865877Z 09/13 13:47:27.314: [sbi] INFO: nghttp2_server() [http://10.45.0.21]:7777 (../lib/sbi/nghttp2-server.c:454)
open5gs-smf  | 2026-09-13T13:47:27.315049372Z 09/13 13:47:27.314: [app] INFO: SMF initialize...done (../src/smf/app.c:31)
open5gs-smf  | 2026-09-13T13:47:27.316162144Z 09/13 13:47:27.315: [sbi] WARNING: Couldn't connect to server (7): Failed to connect to 10.45.0.11 port 7777: Connection refused (../lib/sbi/client.c:767)
open5gs-smf  | 2026-09-13T13:47:27.316187229Z 09/13 13:47:27.315: [sbi] WARNING: ogs_sbi_client_handler() failed [-1] (../lib/sbi/path.c:62)
open5gs-smf  | 2026-09-13T13:47:27.316194201Z 09/13 13:47:27.316: [smf] INFO: PFCP associated [10.45.0.30]:8805 (../src/smf/pfcp-sm.c:189)
open5gs-smf  | 2026-09-13T13:47:38.320081547Z 09/13 13:47:38.319: [sbi] WARNING: [a83310e8-af79-41f1-a902-7d532d056622] Retry registration with NRF (../lib/sbi/nf-sm.c:282)
open5gs-smf  | 2026-09-13T13:47:38.323635428Z 09/13 13:47:38.323: [sbi] INFO: [a83310e8-af79-41f1-a902-7d532d056622] NF registered [Heartbeat:10s] (../lib/sbi/nf-sm.c:368)
open5gs-smf  | 2026-09-13T13:47:38.326814935Z 09/13 13:47:38.326: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/nnrf-handler.c:1113)
open5gs-smf  | 2026-09-13T13:47:38.326834902Z 09/13 13:47:38.326: [sbi] INFO: [aec51550-af79-41f1-a18e-451e2327f260] Subscription created until 2026-09-14T13:47:38.325260+00:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:1032)
open5gs-smf  | 2026-09-13T13:47:38.327137562Z 09/13 13:47:38.327: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/nnrf-handler.c:1113)
open5gs-smf  | 2026-09-13T13:47:38.327152735Z 09/13 13:47:38.327: [sbi] INFO: [aec51ef6-af79-41f1-a18e-451e2327f260] Subscription created until 2026-09-14T13:47:38.325394+00:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:1032)
open5gs-smf  | 2026-09-13T13:47:38.327527317Z 09/13 13:47:38.327: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/nnrf-handler.c:1113)
open5gs-smf  | 2026-09-13T13:47:38.327538920Z 09/13 13:47:38.327: [sbi] INFO: [aec5240a-af79-41f1-a18e-451e2327f260] Subscription created until 2026-09-14T13:47:38.325521+00:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:1032)
open5gs-smf  | 2026-09-13T13:47:38.327724335Z 09/13 13:47:38.327: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/nnrf-handler.c:1113)
open5gs-smf  | 2026-09-13T13:47:38.327740448Z 09/13 13:47:38.327: [sbi] INFO: [aec527fc-af79-41f1-a18e-451e2327f260] Subscription created until 2026-09-14T13:47:38.325651+00:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:1032)
open5gs-smf  | 2026-09-13T13:47:38.328065339Z 09/13 13:47:38.327: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.11:7777] (../lib/sbi/nnrf-handler.c:1113)
open5gs-smf  | 2026-09-13T13:47:38.328081323Z 09/13 13:47:38.327: [sbi] INFO: [aec52e64-af79-41f1-a18e-451e2327f260] Subscription created until 2026-09-14T13:47:38.325788+00:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:1032)
open5gs-smf  | 2026-09-13T13:47:38.331306733Z 09/13 13:47:38.331: [sbi] INFO: [a72fa3e6-af79-41f1-b247-cb1aca3465d0] (NRF-profile-get) NF registered (../lib/sbi/nf-sm.c:104)
